file,comparison_key,shown_on_map,layer_name,category_column,category,feature_count,total_area_m2,total_area_ha
comp_berneyrenove_berney.gpkg,berneyrenove,berney,context,class,non-built,162,142453.05292357373,14.245305292357374
comp_berneyrenove_berney.gpkg,berneyrenove,berney,context,class,road_network,17,23221.409378195935,2.322140937819593
comp_berneyrenove_berney.gpkg,berneyrenove,berney,context,class,water,28,10526.421175618518,1.0526421175618517
comp_berneyrenove_berney.gpkg,berneyrenove,berney,context,class,built,118,10152.792740915591,1.015279274091559
comp_berneyrenove_renove.gpkg,berneyrenove,renove,context,class,road_network,121,98131.59789113863,9.813159789113863
comp_berneyrenove_renove.gpkg,berneyrenove,renove,context,class,non-built,173,59441.988333844696,5.94419883338447
comp_berneyrenove_renove.gpkg,berneyrenove,renove,context,class,built,330,15246.130591063755,1.5246130591063756
comp_berneyrenove_renove.gpkg,berneyrenove,renove,context,class,water,23,1998.6559148479446,0.19986559148479444
comp_melotteberney_berney.gpkg,melotteberney,berney,context,class,non-built,227,319774.2174088706,31.977421740887056
comp_melotteberney_berney.gpkg,melotteberney,berney,context,class,road_network,35,24667.539416570424,2.4667539416570423
comp_melotteberney_berney.gpkg,melotteberney,berney,context,class,built,188,18853.19674669069,1.885319674669069
comp_melotteberney_melotte.gpkg,melotteberney,melotte,context,class,undecided,169,312163.9922805653,31.216399228056535
comp_melotteberney_melotte.gpkg,melotteberney,melotte,context,class,road network,43,16251.81672100872,1.6251816721008718
comp_melotteberney_melotte.gpkg,melotteberney,melotte,context,class,buildings,130,15123.063995141272,1.5123063995141273
comp_melotteberney_melotte.gpkg,melotteberney,melotte,context,class,water,12,4413.496341762927,0.4413496341762927
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,unknown,213,141834.3892448845,14.183438924488451
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,apartments,12,6219.501584993112,0.6219501584993112
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,parking,2,4251.456584275376,0.4251456584275376
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,school,3,3451.7465655521864,0.3451746565552186
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,office,1,2988.071849988249,0.2988071849988249
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,industrial,3,2063.746248613072,0.2063746248613072
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,fire_station,1,2061.3577285814267,0.20613577285814266
comp_renovecontemporain_contemporain_buildings.gpkg,renovecontemporain,contemporain,buildings,type,public,1,2025.0078702680962,0.20250078702680963
