file,kind,suffix,map_key,map_label,load_status,rows,crs,geometry_types,columns,error
melotte_area_lake.gpkg,area_lake,.gpkg,melotte,Melotte (1721),ok,2,EPSG:2056,MultiLineString,"id, geometry",
melotte_lake.gpkg,lake,.gpkg,melotte,Melotte (1721),ok,2,EPSG:2056,MultiLineString,"id, geometry",
melotte_area_lake_polygon.shp,polygon_shp,.shp,melotte,Melotte (1721),ok,1,None,Polygon,geometry,
berney_area_lake.gpkg,area_lake,.gpkg,berney,Berney (1831),ok,1,EPSG:2056,MultiLineString,"id, geometry",
berney_lake.gpkg,lake,.gpkg,berney,Berney (1831),ok,1,EPSG:2056,MultiLineString,"id, geometry",
berney_area_lake_polygon.shp,polygon_shp,.shp,berney,Berney (1831),ok,1,None,Polygon,geometry,
renove_area_lake.gpkg,area_lake,.gpkg,renove,Rénové (1888),ok,1,EPSG:2056,MultiLineString,"id, geometry",
renove_lake.gpkg,lake,.gpkg,renove,Rénové (1888),ok,1,EPSG:2056,MultiLineString,"id, geometry",
renove_area_lake_polygon.shp,polygon_shp,.shp,renove,Rénové (1888),ok,1,None,Polygon,geometry,
1937_area_lake.gpkg,area_lake,.gpkg,1937,1937,ok,3,EPSG:21781,MultiLineString,"id, geometry",
1937_lake.gpkg,lake,.gpkg,1937,1937,ok,3,EPSG:21781,MultiLineString,"id, geometry",
1937_area_lake_polygon.shp,polygon_shp,.shp,1937,1937,ok,1,None,Polygon,geometry,
1959_area_lake.gpkg,area_lake,.gpkg,1959,1959,ok,3,EPSG:2056,MultiLineString,"id, name, Name_1, length, geometry",
1959_lake.gpkg,lake,.gpkg,1959,1959,ok,3,EPSG:2056,MultiLineString,"id, name, Name_1, length, geometry",
1959_area_lake_polygon.shp,polygon_shp,.shp,1959,1959,ok,1,None,Polygon,geometry,
contemporain_area_lake.gpkg,area_lake,.gpkg,contemporain,Contemporary (2021),ok,1,EPSG:2056,MultiLineString,"id, length, geometry",
contemporain_lake.gpkg,lake,.gpkg,contemporain,Contemporary (2021),ok,1,EPSG:2056,MultiLineString,"id, length, geometry",
contemporain_area_lake_polygon.shp,polygon_shp,.shp,contemporain,Contemporary (2021),ok,1,None,Polygon,geometry,
