period,map_start,map_end,river_name,tolerance_m,length_start_m,length_end_m,stable_length_m,lost_length_m,new_length_m,stable_pct_of_start,lost_pct_of_start
melotte → berney,melotte,berney,boveresses,50.0,0.0,764.7608757690638,0.0,0.0,764.7608757690638,,
melotte → berney,melotte,berney,flon,50.0,4029.273444910692,5898.082647843863,3689.8828693278683,320.51829890147474,1337.4233114205094,91.57687905218987,7.954741798581977
melotte → berney,melotte,berney,galicien,50.0,0.0,28.136454766659185,0.0,0.0,28.136454766659185,,
melotte → berney,melotte,berney,le rionzi,50.0,173.3673894702518,0.0,0.0,173.3673894702518,0.0,0.0,100.0
melotte → berney,melotte,berney,louve,50.0,2292.549627848329,2068.630336889118,2034.5864543818886,244.9072781745821,147.9797872505,88.7477605573777,10.68274706901066
melotte → berney,melotte,berney,petitflon,50.0,540.3137696704503,0.0,0.0,540.3137696704503,0.0,0.0,100.0
melotte → berney,melotte,berney,vuachere,50.0,3369.572676955445,3313.1570195027416,2043.8434652349317,1314.1249708622781,1398.1370946981874,60.65586533309716,38.999751507056
berney → renove,berney,renove,boveresses,50.0,764.7608757690638,767.172248778569,764.7608757690638,0.0,0.0,100.0,0.0
berney → renove,berney,renove,flon,50.0,5898.082647843863,5491.141052197637,5492.62239606937,369.36065622246065,196.4076350948706,93.12555832152138,6.262385223738535
berney → renove,berney,renove,galicien,50.0,28.136454766659185,0.0,0.0,28.136454766659185,0.0,0.0,100.0
berney → renove,berney,renove,louve,50.0,2068.630336889118,1501.066701328707,1529.0521989117594,501.9727137551088,92.47625928713177,73.91616431629848,24.265945674469503
berney → renove,berney,renove,vuachere,50.0,3313.1570195027416,3371.6088104862956,3309.4410360652455,0.0,0.0,99.88784161403694,0.0
renove → 1937,renove,1937,boveresses,50.0,767.172248778569,0.0,0.0,767.172248778569,0.0,0.0,100.0
renove → 1937,renove,1937,flon,50.0,5491.141052197637,1040.0835578907952,1152.2216880426345,4338.919364155002,0.0,20.98328338481668,79.01671661518331
renove → 1937,renove,1937,louve,50.0,1501.066701328707,1914.212993323265,854.7941860838544,646.2725152448525,1052.7273477237366,56.94578297734616,43.05421702265383
renove → 1937,renove,1937,rionzi,50.0,0.0,235.30128621268602,0.0,0.0,235.30128621268602,,
renove → 1937,renove,1937,vuachere,50.0,3371.6088104862956,1862.8839813124691,1885.5860030226686,1486.0228074636273,0.0,55.925408581154635,44.07459141884537
1937 → 1959,1937,1959,flon,50.0,1040.0835578907952,104.49692294719131,162.64128358368427,877.4422743071109,0.0,15.637328592474587,84.36267140752541
1937 → 1959,1937,1959,louve,50.0,1914.212993323265,446.1045860834369,574.5074566437286,1339.705536679536,0.0,30.01272369624481,69.98727630375517
1937 → 1959,1937,1959,petitflon,50.0,0.0,9.567145487041165,0.0,0.0,0.0,,
1937 → 1959,1937,1959,rionzi,50.0,235.30128621268602,0.0,0.0,235.30128621268602,0.0,0.0,100.0
1937 → 1959,1937,1959,vuachere,50.0,1862.8839813124691,2755.8315503877866,1862.8839813124691,0.0,966.5553521073219,100.0,0.0
1959 → contemporain,1959,contemporain,flon,50.0,104.49692294719131,115.82015018010418,90.58318803619272,0.0,0.0,86.6850290720713,0.0
1959 → contemporain,1959,contemporain,le rionzi,50.0,0.0,210.4987423354096,0.0,0.0,210.4987423354096,,
1959 → contemporain,1959,contemporain,louve,50.0,446.1045860834369,338.87250400389706,446.1045860834369,0.0,0.0,100.0,0.0
1959 → contemporain,1959,contemporain,petitflon,50.0,9.567145487041165,685.7493302488642,0.0,0.0,622.7966152861544,0.0,0.0
1959 → contemporain,1959,contemporain,vuachere,50.0,2755.8315503877866,2793.366665217832,2755.8315503877866,0.0,0.0,100.0,0.0
