clean_name,segment_count,length_m,map_key,map_label,sort_key
flon,11,4029.2734449106915,melotte,Melotte (1721),1721
inconnu,2,909.2470155151896,melotte,Melotte (1721),1721
le rionzi,1,12.491815288792292,melotte,Melotte (1721),1721
louve,5,2292.5496278483292,melotte,Melotte (1721),1721
petit flon,1,17.449371902562255,melotte,Melotte (1721),1721
vuachere,5,3369.572676955445,melotte,Melotte (1721),1721
boveresses,1,764.7608757690638,berney,Berney (1831),1831
flon,18,5898.082647843863,berney,Berney (1831),1831
galicien,1,28.136454766659185,berney,Berney (1831),1831
inconnu,3,1096.5324814677924,berney,Berney (1831),1831
louve,12,2068.6303368891186,berney,Berney (1831),1831
vuachere,6,3313.157019502742,berney,Berney (1831),1831
boveresses,1,767.172248778569,renove,Rénové (1888),1888
flon,16,5491.141052197637,renove,Rénové (1888),1888
louve,5,1501.066701328707,renove,Rénové (1888),1888
vuachere,5,3371.6088104862956,renove,Rénové (1888),1888
flon,2,1040.0835578907952,1937,1937,1937
louve,2,1252.8700227610473,1937,1937,1937
vuachere,5,2885.6502428089752,1937,1937,1937
flon,2,104.49692294719131,1959,1959,1959
louve,1,446.1045860834369,1959,1959,1959
petit flon,1,9.567145487041165,1959,1959,1959
vuachere,11,2755.831550387787,1959,1959,1959
flon,2,115.82015018010418,contemporain,Contemporary (2021),2021
le rionzi,1,12.684307421792642,contemporain,Contemporary (2021),2021
louve,2,338.87250400389706,contemporain,Contemporary (2021),2021
petit flon,1,4.186240334438757,contemporain,Contemporary (2021),2021
vuachere,16,2793.3666652178326,contemporain,Contemporary (2021),2021
