period,map_start,map_end,river_name,length_start_m,length_end_m,stable_length_m,lost_length_m,new_length_m,stable_pct_of_start,lost_pct_of_start,tolerance_m
Melotte (1721) → Berney (1831),melotte,berney,boveresses,0.0,764.7608757690638,0.0,0.0,764.7608757690638,,,50
Melotte (1721) → Berney (1831),melotte,berney,flon,4029.273444910692,5898.082647843863,3689.8828693278683,320.51829890147474,1337.4233114205094,91.57687905218987,7.954741798581977,50
Melotte (1721) → Berney (1831),melotte,berney,galicien,0.0,28.136454766659185,0.0,0.0,28.136454766659185,,,50
Melotte (1721) → Berney (1831),melotte,berney,inconnu,909.2470155151896,1096.5324814677924,0.0,909.2470155151896,1096.5324814677924,0.0,100.0,50
Melotte (1721) → Berney (1831),melotte,berney,le rionzi,12.491815288792292,0.0,0.0,0.0,0.0,0.0,0.0,50
Melotte (1721) → Berney (1831),melotte,berney,louve,2292.549627848329,2068.630336889118,2034.5864543818886,244.9072781745821,147.9797872505,88.7477605573777,10.68274706901066,50
Melotte (1721) → Berney (1831),melotte,berney,petit flon,17.449371902562255,0.0,0.0,0.0,0.0,0.0,0.0,50
Melotte (1721) → Berney (1831),melotte,berney,vuachere,3369.572676955445,3313.1570195027416,2043.8434652349317,1314.1249708622781,1398.1370946981874,60.65586533309716,38.999751507056,50
Berney (1831) → Rénové (1888),berney,renove,boveresses,764.7608757690638,767.172248778569,764.7608757690638,0.0,0.0,100.0,0.0,50
Berney (1831) → Rénové (1888),berney,renove,flon,5898.082647843863,5491.141052197637,5492.62239606937,369.36065622246065,196.4076350948706,93.12555832152138,6.262385223738535,50
Berney (1831) → Rénové (1888),berney,renove,galicien,28.136454766659185,0.0,0.0,28.136454766659185,0.0,0.0,100.0,50
Berney (1831) → Rénové (1888),berney,renove,inconnu,1096.5324814677924,0.0,0.0,1096.5324814677924,0.0,0.0,100.0,50
Berney (1831) → Rénové (1888),berney,renove,louve,2068.630336889118,1501.066701328707,1529.0521989117594,501.9727137551088,92.47625928713177,73.91616431629848,24.265945674469503,50
Berney (1831) → Rénové (1888),berney,renove,vuachere,3313.1570195027416,3371.6088104862956,3309.4410360652455,0.0,0.0,99.88784161403694,0.0,50
Rénové (1888) → 1937,renove,1937,boveresses,767.172248778569,0.0,0.0,767.172248778569,0.0,0.0,100.0,50
Rénové (1888) → 1937,renove,1937,flon,5491.141052197637,1040.0835578907952,1152.2216880426345,4338.919364155002,0.0,20.98328338481668,79.01671661518331,50
Rénové (1888) → 1937,renove,1937,louve,1501.066701328707,1252.8700227610473,854.7941860838544,646.2725152448525,443.6976312918658,56.94578297734616,43.05421702265383,50
Rénové (1888) → 1937,renove,1937,vuachere,3371.6088104862956,1862.8839813124691,1885.5860030226686,1486.0228074636273,0.0,55.925408581154635,44.07459141884537,50
1937 → 1959,1937,1959,flon,1040.0835578907952,104.49692294719131,162.64128358368427,877.4422743071109,0.0,15.637328592474587,84.36267140752541,50
1937 → 1959,1937,1959,louve,1252.8700227610473,446.1045860834369,531.698536319819,721.1714864412282,0.0,42.438443466631405,57.561556533368595,50
1937 → 1959,1937,1959,petit flon,0.0,9.567145487041165,0.0,0.0,0.0,,,50
1937 → 1959,1937,1959,vuachere,1862.8839813124691,2755.8315503877866,1862.8839813124691,0.0,966.5553521073219,100.0,0.0,50
1959 → Contemporary (2021),1959,contemporain,flon,104.49692294719131,115.82015018010418,90.58318803619272,0.0,0.0,86.6850290720713,0.0,50
1959 → Contemporary (2021),1959,contemporain,le rionzi,0.0,12.684307421792642,0.0,0.0,0.0,,,50
1959 → Contemporary (2021),1959,contemporain,louve,446.1045860834369,338.87250400389706,446.1045860834369,0.0,0.0,100.0,0.0,50
1959 → Contemporary (2021),1959,contemporain,petit flon,9.567145487041165,4.186240334438757,0.0,0.0,0.0,0.0,0.0,50
1959 → Contemporary (2021),1959,contemporain,vuachere,2755.8315503877866,2793.366665217832,2755.8315503877866,0.0,0.0,100.0,0.0,50
